relative_path,class_folder_raw,group_id
1. Tea algal leaf spot/tea_algal_leaf_spot_00075.jpg,1. Tea algal leaf spot,G00118
1. Tea algal leaf spot/tea_algal_leaf_spot_00076.jpg,1. Tea algal leaf spot,G00119
1. Tea algal leaf spot/tea_algal_leaf_spot_00077.jpg,1. Tea algal leaf spot,G00120
1. Tea algal leaf spot/tea_algal_leaf_spot_00078.jpg,1. Tea algal leaf spot,G00121
1. Tea algal leaf spot/tea_algal_leaf_spot_00079.jpg,1. Tea algal leaf spot,G00122
1. Tea algal leaf spot/tea_algal_leaf_spot_00080.jpg,1. Tea algal leaf spot,G00123
1. Tea algal leaf spot/tea_algal_leaf_spot_00081.jpg,1. Tea algal leaf spot,G00124
1. Tea algal leaf spot/tea_algal_leaf_spot_00082.jpg,1. Tea algal leaf spot,G00125
1. Tea algal leaf spot/tea_algal_leaf_spot_00083.jpg,1. Tea algal leaf spot,G00126
1. Tea algal leaf spot/tea_algal_leaf_spot_00084.jpg,1. Tea algal leaf spot,G00127
1. Tea algal leaf spot/tea_algal_leaf_spot_00085.jpg,1. Tea algal leaf spot,G00128
1. Tea algal leaf spot/tea_algal_leaf_spot_00086.jpg,1. Tea algal leaf spot,G00129
1. Tea algal leaf spot/tea_algal_leaf_spot_00087.jpg,1. Tea algal leaf spot,G00130
1. Tea algal leaf spot/tea_algal_leaf_spot_00088.jpg,1. Tea algal leaf spot,G00131
1. Tea algal leaf spot/tea_algal_leaf_spot_00089.jpg,1. Tea algal leaf spot,G00132
1. Tea algal leaf spot/tea_algal_leaf_spot_00090.jpg,1. Tea algal leaf spot,G00133
1. Tea algal leaf spot/tea_algal_leaf_spot_00091.jpg,1. Tea algal leaf spot,G00134
1. Tea algal leaf spot/tea_algal_leaf_spot_00092.jpg,1. Tea algal leaf spot,G00135
1. Tea algal leaf spot/tea_algal_leaf_spot_00093.jpg,1. Tea algal leaf spot,G00136
1. Tea algal leaf spot/tea_algal_leaf_spot_00094.jpg,1. Tea algal leaf spot,G00137
1. Tea algal leaf spot/tea_algal_leaf_spot_00095.jpg,1. Tea algal leaf spot,G00138
1. Tea algal leaf spot/tea_algal_leaf_spot_00096.jpg,1. Tea algal leaf spot,G00139
1. Tea algal leaf spot/tea_algal_leaf_spot_00097.jpg,1. Tea algal leaf spot,G00140
1. Tea algal leaf spot/tea_algal_leaf_spot_00098.jpg,1. Tea algal leaf spot,G00141
1. Tea algal leaf spot/tea_algal_leaf_spot_00099.jpg,1. Tea algal leaf spot,G00142
1. Tea algal leaf spot/tea_algal_leaf_spot_00100.jpg,1. Tea algal leaf spot,G00143
1. Tea algal leaf spot/tea_algal_leaf_spot_00101.jpg,1. Tea algal leaf spot,G00144
1. Tea algal leaf spot/tea_algal_leaf_spot_00102.jpg,1. Tea algal leaf spot,G00145
1. Tea algal leaf spot/tea_algal_leaf_spot_00103.jpg,1. Tea algal leaf spot,G00146
1. Tea algal leaf spot/tea_algal_leaf_spot_00104.jpg,1. Tea algal leaf spot,G00147
1. Tea algal leaf spot/tea_algal_leaf_spot_00105.jpg,1. Tea algal leaf spot,G00148
1. Tea algal leaf spot/tea_algal_leaf_spot_00106.jpg,1. Tea algal leaf spot,G00149
1. Tea algal leaf spot/tea_algal_leaf_spot_00107.jpg,1. Tea algal leaf spot,G00150
1. Tea algal leaf spot/tea_algal_leaf_spot_00108.jpg,1. Tea algal leaf spot,G00151
1. Tea algal leaf spot/tea_algal_leaf_spot_00109.jpg,1. Tea algal leaf spot,G00152
1. Tea algal leaf spot/tea_algal_leaf_spot_00110.jpg,1. Tea algal leaf spot,G00153
1. Tea algal leaf spot/tea_algal_leaf_spot_00111.jpg,1. Tea algal leaf spot,G00154
1. Tea algal leaf spot/tea_algal_leaf_spot_00112.jpg,1. Tea algal leaf spot,G00155
1. Tea algal leaf spot/tea_algal_leaf_spot_00113.jpg,1. Tea algal leaf spot,G00156
1. Tea algal leaf spot/tea_algal_leaf_spot_00114.jpg,1. Tea algal leaf spot,G00157
1. Tea algal leaf spot/tea_algal_leaf_spot_00115.jpg,1. Tea algal leaf spot,G00158
1. Tea algal leaf spot/tea_algal_leaf_spot_00116.jpg,1. Tea algal leaf spot,G00159
1. Tea algal leaf spot/tea_algal_leaf_spot_00117.jpg,1. Tea algal leaf spot,G00160
1. Tea algal leaf spot/tea_algal_leaf_spot_00118.jpg,1. Tea algal leaf spot,G00161
1. Tea algal leaf spot/tea_algal_leaf_spot_00119.jpg,1. Tea algal leaf spot,G00162
1. Tea algal leaf spot/tea_algal_leaf_spot_00120.jpg,1. Tea algal leaf spot,G00163
1. Tea algal leaf spot/tea_algal_leaf_spot_00121.jpg,1. Tea algal leaf spot,G00164
1. Tea algal leaf spot/tea_algal_leaf_spot_00122.jpg,1. Tea algal leaf spot,G00165
1. Tea algal leaf spot/tea_algal_leaf_spot_00123.jpg,1. Tea algal leaf spot,G00166
1. Tea algal leaf spot/tea_algal_leaf_spot_00124.jpg,1. Tea algal leaf spot,G00167
1. Tea algal leaf spot/tea_algal_leaf_spot_00125.jpg,1. Tea algal leaf spot,G00168
1. Tea algal leaf spot/tea_algal_leaf_spot_00126.jpg,1. Tea algal leaf spot,G00169
1. Tea algal leaf spot/tea_algal_leaf_spot_00127.jpg,1. Tea algal leaf spot,G00170
1. Tea algal leaf spot/tea_algal_leaf_spot_00128.jpg,1. Tea algal leaf spot,G00171
1. Tea algal leaf spot/tea_algal_leaf_spot_00129.jpg,1. Tea algal leaf spot,G00172
1. Tea algal leaf spot/tea_algal_leaf_spot_00130.jpg,1. Tea algal leaf spot,G00173
1. Tea algal leaf spot/tea_algal_leaf_spot_00131.jpg,1. Tea algal leaf spot,G00174
1. Tea algal leaf spot/tea_algal_leaf_spot_00132.jpg,1. Tea algal leaf spot,G00175
1. Tea algal leaf spot/tea_algal_leaf_spot_00133.jpg,1. Tea algal leaf spot,G00176
1. Tea algal leaf spot/tea_algal_leaf_spot_00134.jpg,1. Tea algal leaf spot,G00177
1. Tea algal leaf spot/tea_algal_leaf_spot_00135.jpg,1. Tea algal leaf spot,G00178
1. Tea algal leaf spot/tea_algal_leaf_spot_00136.jpg,1. Tea algal leaf spot,G00001
1. Tea algal leaf spot/tea_algal_leaf_spot_00137.jpg,1. Tea algal leaf spot,G00001
1. Tea algal leaf spot/tea_algal_leaf_spot_00138.jpg,1. Tea algal leaf spot,G00179
1. Tea algal leaf spot/tea_algal_leaf_spot_00139.jpg,1. Tea algal leaf spot,G00180
1. Tea algal leaf spot/tea_algal_leaf_spot_00140.jpg,1. Tea algal leaf spot,G00181
1. Tea algal leaf spot/tea_algal_leaf_spot_00141.jpg,1. Tea algal leaf spot,G00182
1. Tea algal leaf spot/tea_algal_leaf_spot_00142.jpg,1. Tea algal leaf spot,G00183
1. Tea algal leaf spot/tea_algal_leaf_spot_00143.jpg,1. Tea algal leaf spot,G00184
1. Tea algal leaf spot/tea_algal_leaf_spot_00144.jpg,1. Tea algal leaf spot,G00002
1. Tea algal leaf spot/tea_algal_leaf_spot_00145.jpg,1. Tea algal leaf spot,G00002
1. Tea algal leaf spot/tea_algal_leaf_spot_00146.jpg,1. Tea algal leaf spot,G00185
1. Tea algal leaf spot/tea_algal_leaf_spot_00147.jpg,1. Tea algal leaf spot,G00186
1. Tea algal leaf spot/tea_algal_leaf_spot_00148.jpg,1. Tea algal leaf spot,G00187
1. Tea algal leaf spot/tea_algal_leaf_spot_00149.jpg,1. Tea algal leaf spot,G00188
1. Tea algal leaf spot/tea_algal_leaf_spot_00150.jpg,1. Tea algal leaf spot,G00189
1. Tea algal leaf spot/tea_algal_leaf_spot_00151.jpg,1. Tea algal leaf spot,G00190
1. Tea algal leaf spot/tea_algal_leaf_spot_00152.jpg,1. Tea algal leaf spot,G00191
1. Tea algal leaf spot/tea_algal_leaf_spot_00153.jpg,1. Tea algal leaf spot,G00192
1. Tea algal leaf spot/tea_algal_leaf_spot_00154.jpg,1. Tea algal leaf spot,G00193
1. Tea algal leaf spot/tea_algal_leaf_spot_00155.jpg,1. Tea algal leaf spot,G00194
1. Tea algal leaf spot/tea_algal_leaf_spot_00156.jpg,1. Tea algal leaf spot,G00195
1. Tea algal leaf spot/tea_algal_leaf_spot_00157.jpg,1. Tea algal leaf spot,G00196
1. Tea algal leaf spot/tea_algal_leaf_spot_00158.jpg,1. Tea algal leaf spot,G00197
1. Tea algal leaf spot/tea_algal_leaf_spot_00159.jpg,1. Tea algal leaf spot,G00198
1. Tea algal leaf spot/tea_algal_leaf_spot_00160.jpg,1. Tea algal leaf spot,G00199
1. Tea algal leaf spot/tea_algal_leaf_spot_00161.jpg,1. Tea algal leaf spot,G00200
1. Tea algal leaf spot/tea_algal_leaf_spot_00162.jpg,1. Tea algal leaf spot,G00201
1. Tea algal leaf spot/tea_algal_leaf_spot_00163.jpg,1. Tea algal leaf spot,G00202
1. Tea algal leaf spot/tea_algal_leaf_spot_00164.jpg,1. Tea algal leaf spot,G00203
1. Tea algal leaf spot/tea_algal_leaf_spot_00165.jpg,1. Tea algal leaf spot,G00204
1. Tea algal leaf spot/tea_algal_leaf_spot_00166.jpg,1. Tea algal leaf spot,G00205
1. Tea algal leaf spot/tea_algal_leaf_spot_00167.jpg,1. Tea algal leaf spot,G00206
1. Tea algal leaf spot/tea_algal_leaf_spot_00168.jpg,1. Tea algal leaf spot,G00207
1. Tea algal leaf spot/tea_algal_leaf_spot_00169.jpg,1. Tea algal leaf spot,G00208
1. Tea algal leaf spot/tea_algal_leaf_spot_00170.jpg,1. Tea algal leaf spot,G00209
1. Tea algal leaf spot/tea_algal_leaf_spot_00171.jpg,1. Tea algal leaf spot,G00210
1. Tea algal leaf spot/tea_algal_leaf_spot_00172.jpg,1. Tea algal leaf spot,G00211
1. Tea algal leaf spot/tea_algal_leaf_spot_00173.jpg,1. Tea algal leaf spot,G00212
1. Tea algal leaf spot/tea_algal_leaf_spot_00174.jpg,1. Tea algal leaf spot,G00213
1. Tea algal leaf spot/tea_algal_leaf_spot_00175.jpg,1. Tea algal leaf spot,G00214
1. Tea algal leaf spot/tea_algal_leaf_spot_00176.jpg,1. Tea algal leaf spot,G00215
1. Tea algal leaf spot/tea_algal_leaf_spot_00177.jpg,1. Tea algal leaf spot,G00216
1. Tea algal leaf spot/tea_algal_leaf_spot_00178.jpg,1. Tea algal leaf spot,G00217
1. Tea algal leaf spot/tea_algal_leaf_spot_00179.jpg,1. Tea algal leaf spot,G00218
1. Tea algal leaf spot/tea_algal_leaf_spot_00180.jpg,1. Tea algal leaf spot,G00219
1. Tea algal leaf spot/tea_algal_leaf_spot_00181.jpg,1. Tea algal leaf spot,G00220
1. Tea algal leaf spot/tea_algal_leaf_spot_00182.jpg,1. Tea algal leaf spot,G00221
1. Tea algal leaf spot/tea_algal_leaf_spot_00183.jpg,1. Tea algal leaf spot,G00222
1. Tea algal leaf spot/tea_algal_leaf_spot_00184.jpg,1. Tea algal leaf spot,G00223
1. Tea algal leaf spot/tea_algal_leaf_spot_00185.jpg,1. Tea algal leaf spot,G00224
1. Tea algal leaf spot/tea_algal_leaf_spot_00186.jpg,1. Tea algal leaf spot,G00225
1. Tea algal leaf spot/tea_algal_leaf_spot_00187.jpg,1. Tea algal leaf spot,G00226
1. Tea algal leaf spot/tea_algal_leaf_spot_00188.jpg,1. Tea algal leaf spot,G00227
1. Tea algal leaf spot/tea_algal_leaf_spot_00189.jpg,1. Tea algal leaf spot,G00228
1. Tea algal leaf spot/tea_algal_leaf_spot_00190.jpg,1. Tea algal leaf spot,G00229
1. Tea algal leaf spot/tea_algal_leaf_spot_00191.jpg,1. Tea algal leaf spot,G00230
1. Tea algal leaf spot/tea_algal_leaf_spot_00192.jpg,1. Tea algal leaf spot,G00231
1. Tea algal leaf spot/tea_algal_leaf_spot_00193.jpg,1. Tea algal leaf spot,G00232
1. Tea algal leaf spot/tea_algal_leaf_spot_00194.jpg,1. Tea algal leaf spot,G00233
1. Tea algal leaf spot/tea_algal_leaf_spot_00195.jpg,1. Tea algal leaf spot,G00234
1. Tea algal leaf spot/tea_algal_leaf_spot_00196.jpg,1. Tea algal leaf spot,G00235
1. Tea algal leaf spot/tea_algal_leaf_spot_00197.jpg,1. Tea algal leaf spot,G00236
1. Tea algal leaf spot/tea_algal_leaf_spot_00198.jpg,1. Tea algal leaf spot,G00237
1. Tea algal leaf spot/tea_algal_leaf_spot_00199.jpg,1. Tea algal leaf spot,G00238
1. Tea algal leaf spot/tea_algal_leaf_spot_00200.jpg,1. Tea algal leaf spot,G00239
1. Tea algal leaf spot/tea_algal_leaf_spot_00201.jpg,1. Tea algal leaf spot,G00240
1. Tea algal leaf spot/tea_algal_leaf_spot_00202.jpg,1. Tea algal leaf spot,G00241
1. Tea algal leaf spot/tea_algal_leaf_spot_00203.jpg,1. Tea algal leaf spot,G00242
1. Tea algal leaf spot/tea_algal_leaf_spot_00204.jpg,1. Tea algal leaf spot,G00243
1. Tea algal leaf spot/tea_algal_leaf_spot_00205.jpg,1. Tea algal leaf spot,G00244
1. Tea algal leaf spot/tea_algal_leaf_spot_00206.jpg,1. Tea algal leaf spot,G00245
1. Tea algal leaf spot/tea_algal_leaf_spot_00207.jpg,1. Tea algal leaf spot,G00246
1. Tea algal leaf spot/tea_algal_leaf_spot_00208.jpg,1. Tea algal leaf spot,G00247
1. Tea algal leaf spot/tea_algal_leaf_spot_00209.jpg,1. Tea algal leaf spot,G00248
1. Tea algal leaf spot/tea_algal_leaf_spot_00210.jpg,1. Tea algal leaf spot,G00249
1. Tea algal leaf spot/tea_algal_leaf_spot_00211.jpg,1. Tea algal leaf spot,G00250
1. Tea algal leaf spot/tea_algal_leaf_spot_00212.jpg,1. Tea algal leaf spot,G00251
1. Tea algal leaf spot/tea_algal_leaf_spot_00213.jpg,1. Tea algal leaf spot,G00252
1. Tea algal leaf spot/tea_algal_leaf_spot_00214.jpg,1. Tea algal leaf spot,G00253
1. Tea algal leaf spot/tea_algal_leaf_spot_00215.jpg,1. Tea algal leaf spot,G00254
1. Tea algal leaf spot/tea_algal_leaf_spot_00216.jpg,1. Tea algal leaf spot,G00255
1. Tea algal leaf spot/tea_algal_leaf_spot_00217.jpg,1. Tea algal leaf spot,G00256
1. Tea algal leaf spot/tea_algal_leaf_spot_00218.jpg,1. Tea algal leaf spot,G00257
1. Tea algal leaf spot/tea_algal_leaf_spot_00219.jpg,1. Tea algal leaf spot,G00258
1. Tea algal leaf spot/tea_algal_leaf_spot_00220.jpg,1. Tea algal leaf spot,G00259
1. Tea algal leaf spot/tea_algal_leaf_spot_00221.jpg,1. Tea algal leaf spot,G00260
1. Tea algal leaf spot/tea_algal_leaf_spot_00222.jpg,1. Tea algal leaf spot,G00261
1. Tea algal leaf spot/tea_algal_leaf_spot_00223.jpg,1. Tea algal leaf spot,G00262
1. Tea algal leaf spot/tea_algal_leaf_spot_00224.jpg,1. Tea algal leaf spot,G00263
1. Tea algal leaf spot/tea_algal_leaf_spot_00225.jpg,1. Tea algal leaf spot,G00264
1. Tea algal leaf spot/tea_algal_leaf_spot_00226.jpg,1. Tea algal leaf spot,G00265
1. Tea algal leaf spot/tea_algal_leaf_spot_00227.jpg,1. Tea algal leaf spot,G00266
1. Tea algal leaf spot/tea_algal_leaf_spot_00228.jpg,1. Tea algal leaf spot,G00267
1. Tea algal leaf spot/tea_algal_leaf_spot_00229.jpg,1. Tea algal leaf spot,G00268
1. Tea algal leaf spot/tea_algal_leaf_spot_00230.jpg,1. Tea algal leaf spot,G00269
1. Tea algal leaf spot/tea_algal_leaf_spot_00231.jpg,1. Tea algal leaf spot,G00270
1. Tea algal leaf spot/tea_algal_leaf_spot_00232.jpg,1. Tea algal leaf spot,G00271
1. Tea algal leaf spot/tea_algal_leaf_spot_00233.jpg,1. Tea algal leaf spot,G00272
1. Tea algal leaf spot/tea_algal_leaf_spot_00234.jpg,1. Tea algal leaf spot,G00273
1. Tea algal leaf spot/tea_algal_leaf_spot_00235.jpg,1. Tea algal leaf spot,G00274
1. Tea algal leaf spot/tea_algal_leaf_spot_00236.jpg,1. Tea algal leaf spot,G00275
1. Tea algal leaf spot/tea_algal_leaf_spot_00237.jpg,1. Tea algal leaf spot,G00276
1. Tea algal leaf spot/tea_algal_leaf_spot_00238.jpg,1. Tea algal leaf spot,G00277
1. Tea algal leaf spot/tea_algal_leaf_spot_00239.jpg,1. Tea algal leaf spot,G00278
1. Tea algal leaf spot/tea_algal_leaf_spot_00240.jpg,1. Tea algal leaf spot,G00279
1. Tea algal leaf spot/tea_algal_leaf_spot_00241.jpg,1. Tea algal leaf spot,G00280
1. Tea algal leaf spot/tea_algal_leaf_spot_00242.jpg,1. Tea algal leaf spot,G00281
1. Tea algal leaf spot/tea_algal_leaf_spot_00243.jpg,1. Tea algal leaf spot,G00282
1. Tea algal leaf spot/tea_algal_leaf_spot_00244.jpg,1. Tea algal leaf spot,G00283
1. Tea algal leaf spot/tea_algal_leaf_spot_00245.jpg,1. Tea algal leaf spot,G00284
1. Tea algal leaf spot/tea_algal_leaf_spot_00246.jpg,1. Tea algal leaf spot,G00285
1. Tea algal leaf spot/tea_algal_leaf_spot_00247.jpg,1. Tea algal leaf spot,G00286
1. Tea algal leaf spot/tea_algal_leaf_spot_00248.jpg,1. Tea algal leaf spot,G00287
1. Tea algal leaf spot/tea_algal_leaf_spot_00249.jpg,1. Tea algal leaf spot,G00288
1. Tea algal leaf spot/tea_algal_leaf_spot_00250.jpg,1. Tea algal leaf spot,G00289
1. Tea algal leaf spot/tea_algal_leaf_spot_00251.jpg,1. Tea algal leaf spot,G00290
1. Tea algal leaf spot/tea_algal_leaf_spot_00252.jpg,1. Tea algal leaf spot,G00291
1. Tea algal leaf spot/tea_algal_leaf_spot_00253.jpg,1. Tea algal leaf spot,G00292
1. Tea algal leaf spot/tea_algal_leaf_spot_00254.jpg,1. Tea algal leaf spot,G00293
1. Tea algal leaf spot/tea_algal_leaf_spot_00255.jpg,1. Tea algal leaf spot,G00294
1. Tea algal leaf spot/tea_algal_leaf_spot_00256.jpg,1. Tea algal leaf spot,G00295
1. Tea algal leaf spot/tea_algal_leaf_spot_00257.jpg,1. Tea algal leaf spot,G00296
1. Tea algal leaf spot/tea_algal_leaf_spot_00258.jpg,1. Tea algal leaf spot,G00297
1. Tea algal leaf spot/tea_algal_leaf_spot_00259.jpg,1. Tea algal leaf spot,G00298
1. Tea algal leaf spot/tea_algal_leaf_spot_00260.jpg,1. Tea algal leaf spot,G00299
1. Tea algal leaf spot/tea_algal_leaf_spot_00261.jpg,1. Tea algal leaf spot,G00300
1. Tea algal leaf spot/tea_algal_leaf_spot_00262.jpg,1. Tea algal leaf spot,G00301
1. Tea algal leaf spot/tea_algal_leaf_spot_00263.jpg,1. Tea algal leaf spot,G00302
1. Tea algal leaf spot/tea_algal_leaf_spot_00264.jpg,1. Tea algal leaf spot,G00303
1. Tea algal leaf spot/tea_algal_leaf_spot_00265.jpg,1. Tea algal leaf spot,G00304
1. Tea algal leaf spot/tea_algal_leaf_spot_00266.jpg,1. Tea algal leaf spot,G00305
1. Tea algal leaf spot/tea_algal_leaf_spot_00267.jpg,1. Tea algal leaf spot,G00306
1. Tea algal leaf spot/tea_algal_leaf_spot_00268.jpg,1. Tea algal leaf spot,G00307
1. Tea algal leaf spot/tea_algal_leaf_spot_00269.jpg,1. Tea algal leaf spot,G00308
1. Tea algal leaf spot/tea_algal_leaf_spot_00270.jpg,1. Tea algal leaf spot,G00309
1. Tea algal leaf spot/tea_algal_leaf_spot_00271.jpg,1. Tea algal leaf spot,G00310
1. Tea algal leaf spot/tea_algal_leaf_spot_00272.jpg,1. Tea algal leaf spot,G00311
1. Tea algal leaf spot/tea_algal_leaf_spot_00273.jpg,1. Tea algal leaf spot,G00312
1. Tea algal leaf spot/tea_algal_leaf_spot_00274.jpg,1. Tea algal leaf spot,G00313
1. Tea algal leaf spot/tea_algal_leaf_spot_00275.jpg,1. Tea algal leaf spot,G00314
1. Tea algal leaf spot/tea_algal_leaf_spot_00276.jpg,1. Tea algal leaf spot,G00315
1. Tea algal leaf spot/tea_algal_leaf_spot_00277.jpg,1. Tea algal leaf spot,G00316
1. Tea algal leaf spot/tea_algal_leaf_spot_00278.jpg,1. Tea algal leaf spot,G00317
1. Tea algal leaf spot/tea_algal_leaf_spot_00279.jpg,1. Tea algal leaf spot,G00318
