group_id,size,n_distinct_labels,cross_label,labels,members
G00078,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00035.jpg
G00079,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00036.jpg
G00080,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00037.jpg
G00081,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00038.jpg
G00082,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00039.jpg
G00083,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00040.jpg
G00084,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00041.jpg
G00085,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00042.jpg
G00086,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00043.jpg
G00087,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00044.jpg
G00088,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00045.jpg
G00089,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00046.jpg
G00090,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00047.jpg
G00091,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00048.jpg
G00092,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00049.jpg
G00093,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00050.jpg
G00094,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00051.jpg
G00095,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00052.jpg
G00096,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00053.jpg
G00097,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00054.jpg
G00098,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00055.jpg
G00099,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00056.jpg
G00100,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00057.jpg
G00101,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00058.jpg
G00102,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00059.jpg
G00103,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00060.jpg
G00104,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00061.jpg
G00105,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00062.jpg
G00106,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00063.jpg
G00107,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00064.jpg
G00108,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00065.jpg
G00109,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00066.jpg
G00110,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00067.jpg
G00111,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00068.jpg
G00112,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00069.jpg
G00113,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00070.jpg
G00114,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00071.jpg
G00115,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00072.jpg
G00116,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00073.jpg
G00117,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00074.jpg
G00118,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00075.jpg
G00119,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00076.jpg
G00120,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00077.jpg
G00121,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00078.jpg
G00122,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00079.jpg
G00123,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00080.jpg
G00124,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00081.jpg
G00125,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00082.jpg
G00126,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00083.jpg
G00127,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00084.jpg
G00128,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00085.jpg
G00129,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00086.jpg
G00130,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00087.jpg
G00131,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00088.jpg
G00132,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00089.jpg
G00133,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00090.jpg
G00134,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00091.jpg
G00135,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00092.jpg
G00136,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00093.jpg
G00137,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00094.jpg
G00138,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00095.jpg
G00139,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00096.jpg
G00140,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00097.jpg
G00141,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00098.jpg
G00142,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00099.jpg
G00143,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00100.jpg
G00144,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00101.jpg
G00145,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00102.jpg
G00146,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00103.jpg
G00147,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00104.jpg
G00148,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00105.jpg
G00149,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00106.jpg
G00150,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00107.jpg
G00151,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00108.jpg
G00152,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00109.jpg
G00153,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00110.jpg
G00154,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00111.jpg
G00155,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00112.jpg
G00156,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00113.jpg
G00157,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00114.jpg
G00158,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00115.jpg
G00159,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00116.jpg
G00160,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00117.jpg
G00161,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00118.jpg
G00162,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00119.jpg
G00163,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00120.jpg
G00164,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00121.jpg
G00165,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00122.jpg
G00166,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00123.jpg
G00167,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00124.jpg
G00168,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00125.jpg
G00169,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00126.jpg
G00170,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00127.jpg
G00171,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00128.jpg
G00172,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00129.jpg
G00173,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00130.jpg
G00174,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00131.jpg
G00175,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00132.jpg
G00176,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00133.jpg
G00177,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00134.jpg
G00178,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00135.jpg
G00179,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00138.jpg
G00180,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00139.jpg
G00181,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00140.jpg
G00182,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00141.jpg
G00183,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00142.jpg
G00184,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00143.jpg
G00185,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00146.jpg
G00186,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00147.jpg
G00187,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00148.jpg
G00188,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00149.jpg
G00189,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00150.jpg
G00190,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00151.jpg
G00191,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00152.jpg
G00192,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00153.jpg
G00193,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00154.jpg
G00194,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00155.jpg
G00195,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00156.jpg
G00196,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00157.jpg
G00197,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00158.jpg
G00198,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00159.jpg
G00199,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00160.jpg
G00200,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00161.jpg
G00201,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00162.jpg
G00202,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00163.jpg
G00203,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00164.jpg
G00204,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00165.jpg
G00205,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00166.jpg
G00206,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00167.jpg
G00207,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00168.jpg
G00208,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00169.jpg
G00209,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00170.jpg
G00210,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00171.jpg
G00211,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00172.jpg
G00212,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00173.jpg
G00213,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00174.jpg
G00214,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00175.jpg
G00215,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00176.jpg
G00216,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00177.jpg
G00217,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00178.jpg
G00218,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00179.jpg
G00219,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00180.jpg
G00220,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00181.jpg
G00221,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00182.jpg
G00222,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00183.jpg
G00223,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00184.jpg
G00224,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00185.jpg
G00225,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00186.jpg
G00226,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00187.jpg
G00227,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00188.jpg
G00228,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00189.jpg
G00229,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00190.jpg
G00230,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00191.jpg
G00231,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00192.jpg
G00232,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00193.jpg
G00233,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00194.jpg
G00234,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00195.jpg
G00235,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00196.jpg
G00236,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00197.jpg
G00237,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00198.jpg
G00238,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00199.jpg
G00239,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00200.jpg
G00240,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00201.jpg
G00241,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00202.jpg
