relative_path,class_folder_raw,width,height,size_bytes,laplacian_var_blur,sharpness_flag,mean_brightness,std_contrast,decode_ok,corruption_status,has_exif
1. Tea algal leaf spot/tea_algal_leaf_spot_00029.jpg,1. Tea algal leaf spot,1200,904,166243,148.261,soft,207.403,64.155,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00030.jpg,1. Tea algal leaf spot,1200,904,209621,148.121,soft,198.6,57.746,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00031.jpg,1. Tea algal leaf spot,1200,904,167623,102.993,soft,199.917,47.448,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00032.jpg,1. Tea algal leaf spot,1200,904,132703,82.015,blurry,201.169,45.156,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,1. Tea algal leaf spot,1200,1594,278061,144.336,soft,196.25,56.363,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00034.jpg,1. Tea algal leaf spot,1200,904,162736,58.266,blurry,194.105,31.201,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00035.jpg,1. Tea algal leaf spot,1200,904,169309,52.593,blurry,179.337,33.789,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00036.jpg,1. Tea algal leaf spot,1200,1594,243774,39.497,blurry,188.361,34.029,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00037.jpg,1. Tea algal leaf spot,1200,904,201608,150.472,soft,191.587,47.671,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00038.jpg,1. Tea algal leaf spot,1200,904,193941,115.279,soft,190.912,47.905,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00039.jpg,1. Tea algal leaf spot,1200,1594,426844,216.89,soft,157.598,76.159,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00040.jpg,1. Tea algal leaf spot,1200,904,191390,120.48,soft,169.671,64.99,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00041.jpg,1. Tea algal leaf spot,1200,904,196400,99.2,blurry,194.245,43.266,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00042.jpg,1. Tea algal leaf spot,1200,1594,324731,146.08,soft,195.852,46.642,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00043.jpg,1. Tea algal leaf spot,1200,1594,315987,107.435,soft,198.361,46.564,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00044.jpg,1. Tea algal leaf spot,1200,1594,351789,116.562,soft,203.387,43.261,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00045.jpg,1. Tea algal leaf spot,1200,904,209608,178.276,soft,159.617,64.914,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00046.jpg,1. Tea algal leaf spot,1200,904,221965,113.547,soft,198.41,49.718,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00047.jpg,1. Tea algal leaf spot,1200,904,188334,216.901,soft,181.833,78.709,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00048.jpg,1. Tea algal leaf spot,1200,904,205015,138.629,soft,167.652,67.966,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00049.jpg,1. Tea algal leaf spot,1200,904,194993,144.487,soft,202.681,51.369,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00050.jpg,1. Tea algal leaf spot,1200,904,249547,211.411,soft,199.167,60.669,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00051.jpg,1. Tea algal leaf spot,1200,904,252943,248.944,soft,183.878,70.128,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00052.jpg,1. Tea algal leaf spot,1200,904,172446,117.138,soft,201.435,59.772,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00053.jpg,1. Tea algal leaf spot,1200,1594,393099,90.1,blurry,178.064,45.894,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00054.jpg,1. Tea algal leaf spot,1200,1594,298662,65.847,blurry,207.379,42.504,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00055.jpg,1. Tea algal leaf spot,1200,1594,291676,104.114,soft,198.35,54.425,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00056.jpg,1. Tea algal leaf spot,1200,1594,403034,75.597,blurry,184.26,38.125,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00057.jpg,1. Tea algal leaf spot,1200,1594,321442,88.434,blurry,205.614,47.85,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00058.jpg,1. Tea algal leaf spot,1200,1594,355241,123.679,soft,157.399,61.816,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00059.jpg,1. Tea algal leaf spot,1200,1594,398597,115.325,soft,168.667,53.677,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00060.jpg,1. Tea algal leaf spot,1200,1594,291904,95.376,blurry,168.453,52.291,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00061.jpg,1. Tea algal leaf spot,1200,1594,393527,104.744,soft,175.812,44.227,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00062.jpg,1. Tea algal leaf spot,1200,1594,378287,128.725,soft,161.336,62.148,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00063.jpg,1. Tea algal leaf spot,1200,1594,379128,106.52,soft,172.131,49.545,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00064.jpg,1. Tea algal leaf spot,1200,904,178034,145.341,soft,154.137,71.615,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00065.jpg,1. Tea algal leaf spot,1200,1594,350614,96.994,blurry,173.637,50.969,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00066.jpg,1. Tea algal leaf spot,1200,1594,389840,115.681,soft,157.168,60.436,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00067.jpg,1. Tea algal leaf spot,1200,1594,362175,91.444,blurry,167.399,51.103,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00068.jpg,1. Tea algal leaf spot,1200,1594,317445,105.633,soft,160.032,58.007,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00069.jpg,1. Tea algal leaf spot,1200,1594,295596,94.447,blurry,157.087,59.524,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00070.jpg,1. Tea algal leaf spot,1200,1594,241891,56.655,blurry,180.756,37.541,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00071.jpg,1. Tea algal leaf spot,1200,1594,240212,79.637,blurry,180.758,43.656,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00072.jpg,1. Tea algal leaf spot,1200,1594,232580,63.029,blurry,180.667,34.67,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00073.jpg,1. Tea algal leaf spot,1200,1594,228258,77.08,blurry,177.005,37.035,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00074.jpg,1. Tea algal leaf spot,1200,1594,280741,70.718,blurry,166.503,38.757,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00075.jpg,1. Tea algal leaf spot,1200,1594,260138,150.884,soft,198.304,49.535,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00076.jpg,1. Tea algal leaf spot,1200,1594,266344,83.964,blurry,179.366,40.678,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00077.jpg,1. Tea algal leaf spot,1200,1594,205007,86.611,blurry,191.649,47.133,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00078.jpg,1. Tea algal leaf spot,1200,1594,273960,92.893,blurry,186.02,51.783,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00079.jpg,1. Tea algal leaf spot,1200,1594,238211,82.978,blurry,176.381,41.94,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00080.jpg,1. Tea algal leaf spot,1200,1594,216036,104.821,soft,179.139,57.955,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00081.jpg,1. Tea algal leaf spot,1200,1594,275149,134.076,soft,185.694,50.808,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00082.jpg,1. Tea algal leaf spot,1200,1594,261787,36.957,blurry,153.405,24.853,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00083.jpg,1. Tea algal leaf spot,1200,1594,324651,47.941,blurry,162.259,29.191,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00084.jpg,1. Tea algal leaf spot,1200,1594,279871,46.123,blurry,158.546,25.451,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00085.jpg,1. Tea algal leaf spot,1200,1600,508964,219.431,soft,124.07,62.34,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00086.jpg,1. Tea algal leaf spot,1200,1600,660227,237.194,soft,130.272,72.587,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00087.jpg,1. Tea algal leaf spot,1200,1600,303801,106.873,soft,179.246,48.119,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00088.jpg,1. Tea algal leaf spot,1200,1600,254449,115.233,soft,180.843,56.237,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00089.jpg,1. Tea algal leaf spot,1200,1600,625837,242.554,soft,139.048,73.512,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00090.jpg,1. Tea algal leaf spot,1200,1600,531262,197.799,soft,110.562,72.327,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00091.jpg,1. Tea algal leaf spot,1200,900,198771,115.492,soft,170.34,43.531,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00092.jpg,1. Tea algal leaf spot,1200,900,195943,138.563,soft,172.357,44.379,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00093.jpg,1. Tea algal leaf spot,1200,1600,211984,72.267,blurry,156.968,55.674,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00094.jpg,1. Tea algal leaf spot,1200,1600,219868,96.642,blurry,161.6,47.166,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00095.jpg,1. Tea algal leaf spot,1200,1600,299265,165.514,soft,184.473,43.744,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00096.jpg,1. Tea algal leaf spot,1200,1600,275072,162.882,soft,182.614,48.738,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00097.jpg,1. Tea algal leaf spot,1200,1600,221144,100.474,soft,163.05,38.862,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00098.jpg,1. Tea algal leaf spot,1200,1600,326085,180.184,soft,185.441,42.444,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00099.jpg,1. Tea algal leaf spot,1200,1600,317139,165.781,soft,185.228,42.232,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00100.jpg,1. Tea algal leaf spot,1200,1600,320070,176.751,soft,181.097,41.828,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00101.jpg,1. Tea algal leaf spot,1200,900,172823,194.803,soft,180.988,43.259,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00102.jpg,1. Tea algal leaf spot,1200,900,176620,190.456,soft,180.738,43.666,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00103.jpg,1. Tea algal leaf spot,1200,900,182507,244.5,soft,177.25,49.474,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00104.jpg,1. Tea algal leaf spot,1200,900,193934,215.889,soft,177.561,47.873,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00105.jpg,1. Tea algal leaf spot,1200,900,203150,221.269,soft,175.673,49.259,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00106.jpg,1. Tea algal leaf spot,1200,900,161169,73.761,blurry,171.338,40.072,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00107.jpg,1. Tea algal leaf spot,1200,1600,298328,70.211,blurry,189.558,35.055,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00108.jpg,1. Tea algal leaf spot,1200,900,157128,114.883,soft,174.737,43.373,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00109.jpg,1. Tea algal leaf spot,1200,1600,308473,86.983,blurry,191.094,35.095,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00110.jpg,1. Tea algal leaf spot,1200,1600,302171,86.611,blurry,180.337,43.798,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00111.jpg,1. Tea algal leaf spot,1200,1600,304185,75.727,blurry,191.214,35.278,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00112.jpg,1. Tea algal leaf spot,1200,900,163685,110.885,soft,178.454,34.889,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00113.jpg,1. Tea algal leaf spot,1200,900,158813,90.579,blurry,182.957,33.917,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00114.jpg,1. Tea algal leaf spot,1200,1600,284655,78.454,blurry,186.454,35.995,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00115.jpg,1. Tea algal leaf spot,1200,1600,279821,79.595,blurry,186.533,36.743,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00116.jpg,1. Tea algal leaf spot,1200,900,163383,78.659,blurry,174.131,42.109,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00117.jpg,1. Tea algal leaf spot,1200,1600,305371,113.686,soft,183.851,49.837,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00118.jpg,1. Tea algal leaf spot,1200,1600,243712,78.095,blurry,186.628,41.438,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00119.jpg,1. Tea algal leaf spot,1200,1600,275026,87.829,blurry,183.778,40.24,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00120.jpg,1. Tea algal leaf spot,1200,1600,295676,204.802,soft,178.506,50.13,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00121.jpg,1. Tea algal leaf spot,1200,1600,319900,181.017,soft,175.319,45.192,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00122.jpg,1. Tea algal leaf spot,1200,900,172420,122.693,soft,178.198,32.624,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00123.jpg,1. Tea algal leaf spot,1200,900,172324,117.619,soft,181.268,32.212,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00124.jpg,1. Tea algal leaf spot,1200,1600,315114,229.201,soft,152.657,67.09,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00125.jpg,1. Tea algal leaf spot,1200,1600,272428,242.462,soft,151.385,68.573,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00126.jpg,1. Tea algal leaf spot,1200,1600,307797,222.534,soft,154.795,66.703,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00127.jpg,1. Tea algal leaf spot,1200,1594,242997,151.283,soft,207.867,59.739,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00128.jpg,1. Tea algal leaf spot,1200,1594,313530,149.038,soft,181.436,55.557,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00129.jpg,1. Tea algal leaf spot,1200,900,155924,186.734,soft,146.279,54.012,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00130.jpg,1. Tea algal leaf spot,1200,900,158043,121.85,soft,146.673,52.577,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00131.jpg,1. Tea algal leaf spot,1200,1600,244297,121.519,soft,159.511,49.261,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00132.jpg,1. Tea algal leaf spot,1200,1594,349709,333.616,sharp,169.163,70.294,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00133.jpg,1. Tea algal leaf spot,1200,1594,350601,337.512,sharp,163.521,70.911,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00134.jpg,1. Tea algal leaf spot,1200,1594,351601,339.001,sharp,164.8,70.964,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00135.jpg,1. Tea algal leaf spot,1200,1594,368622,225.6,soft,167.878,59.023,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00136.jpg,1. Tea algal leaf spot,1200,1594,364336,222.69,soft,166.815,58.958,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00137.jpg,1. Tea algal leaf spot,1200,1594,352384,213.465,soft,166.641,59.004,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00138.jpg,1. Tea algal leaf spot,1200,1600,238483,93.691,blurry,188.706,39.861,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00139.jpg,1. Tea algal leaf spot,1200,1600,230561,83.625,blurry,186.905,41.858,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00140.jpg,1. Tea algal leaf spot,1200,1600,226184,61.009,blurry,188.195,44.834,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00141.jpg,1. Tea algal leaf spot,1200,1600,236410,119.451,soft,186.62,65.907,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00142.jpg,1. Tea algal leaf spot,1200,1600,294479,168.824,soft,198.456,50.167,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00143.jpg,1. Tea algal leaf spot,1200,1600,251492,100.127,soft,190.269,57.562,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00144.jpg,1. Tea algal leaf spot,1200,904,177109,357.555,sharp,172.283,52.911,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00145.jpg,1. Tea algal leaf spot,1200,904,176882,353.316,sharp,172.167,52.555,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00146.jpg,1. Tea algal leaf spot,1200,904,188832,212.25,soft,181.867,38.799,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00147.jpg,1. Tea algal leaf spot,1200,904,171372,220.398,soft,185.454,41.519,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00148.jpg,1. Tea algal leaf spot,1200,904,171957,334.087,sharp,181.592,43.37,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00149.jpg,1. Tea algal leaf spot,1200,904,180471,262.917,soft,160.917,64.209,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00150.jpg,1. Tea algal leaf spot,1200,904,191611,241.895,soft,158.926,59.973,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00151.jpg,1. Tea algal leaf spot,1200,904,158143,212.312,soft,168.189,52.031,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00152.jpg,1. Tea algal leaf spot,1200,904,175123,205.206,soft,164.866,54.289,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00153.jpg,1. Tea algal leaf spot,1200,904,185659,263.705,soft,155.878,63.32,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00154.jpg,1. Tea algal leaf spot,1200,1600,271535,118.407,soft,188.864,51.563,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00155.jpg,1. Tea algal leaf spot,1200,1600,307266,144.181,soft,188.979,42.706,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00156.jpg,1. Tea algal leaf spot,1200,1600,269641,94.235,blurry,177.578,35.897,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00157.jpg,1. Tea algal leaf spot,1200,1600,310161,127.642,soft,178.324,43.66,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00158.jpg,1. Tea algal leaf spot,1200,900,204559,209.049,soft,175.381,61.327,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00159.jpg,1. Tea algal leaf spot,1200,900,233783,245.126,soft,174.82,68.444,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00160.jpg,1. Tea algal leaf spot,1200,1600,364174,160.627,soft,176.152,53.813,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00161.jpg,1. Tea algal leaf spot,1200,1600,349435,168.118,soft,175.386,54.861,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00162.jpg,1. Tea algal leaf spot,1200,904,111279,138.672,soft,176.215,52.183,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00163.jpg,1. Tea algal leaf spot,1200,904,110651,103.911,soft,182.24,43.587,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00164.jpg,1. Tea algal leaf spot,1200,904,109787,98.709,blurry,186.022,31.179,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00165.jpg,1. Tea algal leaf spot,1200,904,115349,119.706,soft,184.572,35.535,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00166.jpg,1. Tea algal leaf spot,1200,904,149451,182.898,soft,188.983,59.357,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00167.jpg,1. Tea algal leaf spot,1200,904,146691,152.7,soft,194.699,44.849,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00168.jpg,1. Tea algal leaf spot,1200,904,122348,155.878,soft,184.977,46.746,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00169.jpg,1. Tea algal leaf spot,1200,904,128512,134.24,soft,189.037,38.716,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00170.jpg,1. Tea algal leaf spot,1200,900,148218,83.348,blurry,174.248,37.625,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00171.jpg,1. Tea algal leaf spot,1200,900,154151,96.146,blurry,179.363,41.623,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00172.jpg,1. Tea algal leaf spot,1200,1600,284867,107.379,soft,174.437,37.879,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00173.jpg,1. Tea algal leaf spot,1200,1600,275491,115.507,soft,177.142,41.087,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00174.jpg,1. Tea algal leaf spot,1200,1600,299526,93.386,blurry,179.317,38.042,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00175.jpg,1. Tea algal leaf spot,1200,1600,340256,111.303,soft,166.863,48.581,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00176.jpg,1. Tea algal leaf spot,1200,904,162704,184.995,soft,178.817,59.51,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00177.jpg,1. Tea algal leaf spot,1200,1600,261595,78.941,blurry,170.388,43.418,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00178.jpg,1. Tea algal leaf spot,1200,1600,291576,96.046,blurry,172.784,49.378,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00179.jpg,1. Tea algal leaf spot,1200,904,155412,152.087,soft,187.452,48.616,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00180.jpg,1. Tea algal leaf spot,1200,904,128502,120.972,soft,186.63,41.284,True,ok,True
